,Data,AED,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,EGP,EUR,GBP,100 HUF,INR,100 JPY,100 KRW,MDL,MXN,NOK,NZD,PLN,RSD,RUB,SEK,THB,TRY,UAH,USD,XAU,XDR,ZAR
0,2023-01-03,1.2733,3.1363,2.5193,0.8719,3.4311,4.9834,0.6771,0.2041,0.6625,0.1887,4.9273,5.5720,1.2218,0.0564,3.5797,0.3656,0.2407,0.2396,0.4701,2.9077,1.0518,0.0420,0.0641,0.4434,0.1358,0.2496,0.1266,4.6766,275.9130,6.2220,0.2737
1,2023-01-04,1.2631,3.1902,2.5188,0.8466,3.4244,5.0052,0.6743,0.2047,0.6624,0.1772,4.9264,5.6020,1.2393,0.0561,3.5561,0.3650,0.2442,0.2404,0.4618,2.9357,1.0557,0.0420,0.0651,0.4409,0.1363,0.2476,0.1256,4.6388,277.2928,6.1958,0.2761
2,2023-01-05,1.2629,3.1682,2.5177,0.8541,3.4359,5.0041,0.6751,0.2050,0.6621,0.1728,4.9243,5.5809,1.2450,0.0562,3.5020,0.3656,0.2423,0.2400,0.4604,2.9176,1.0537,0.0420,0.0645,0.4408,0.1369,0.2472,0.1256,4.6388,275.7687,6.1871,0.2732
3,2023-01-06,1.2767,3.1613,2.5203,0.8763,3.4416,4.9914,0.6833,0.2048,0.6628,0.1724,4.9293,5.5610,1.2409,0.0567,3.4901,0.3684,0.2422,0.2429,0.4565,2.9127,1.0492,0.0420,0.0653,0.4366,0.1378,0.2499,0.1269,4.6894,276.9433,6.2240,0.2721
4,2023-01-09,1.2565,3.1886,2.5182,0.8831,3.4446,4.9908,0.6801,0.2051,0.6622,0.1672,4.9252,5.5943,1.2403,0.0560,3.4797,0.3704,0.2443,0.2408,0.4644,2.9425,1.0500,0.0420,0.0662,0.4404,0.1376,0.2458,0.1249,4.6151,277.8808,6.1772,0.2705
5,2023-01-10,1.2488,3.1629,2.5182,0.8728,3.4259,4.9798,0.6767,0.2051,0.6622,0.1665,4.9253,5.5820,1.2357,0.0561,3.4759,0.3681,0.2396,0.2402,0.4619,2.9262,1.0497,0.0420,0.0660,0.4406,0.1368,0.2443,0.1242,4.5868,276.3782,6.1556,0.2693
6,2023-01-11,1.2494,3.1678,2.5221,0.8825,3.4174,4.9726,0.6778,0.2053,0.6633,0.1455,4.9328,5.5700,1.2340,0.0562,3.4644,0.3678,0.2393,0.2409,0.4595,2.9190,1.0530,0.0420,0.0666,0.4383,0.1376,0.2444,0.1243,4.5891,277.9877,6.1585,0.2704
7,2023-01-12,1.2483,3.1678,2.5237,0.8885,3.4154,4.9209,0.6796,0.2054,0.6636,0.1506,4.9359,5.5861,1.2358,0.0562,3.4989,0.3681,0.2394,0.2425,0.4590,2.9138,1.0520,0.0421,0.0676,0.4372,0.1373,0.2441,0.1241,4.5851,277.7474,6.1654,0.2714
8,2023-01-13,1.2412,3.1805,2.5264,0.8924,3.4159,4.9145,0.6787,0.2057,0.6642,0.1543,4.9413,5.5749,1.2484,0.0560,3.5493,0.3685,0.2395,0.2422,0.4622,2.9146,1.0534,0.0421,0.0677,0.4389,0.1382,0.2429,0.1235,4.5588,279.1824,6.1570,0.2705
9,2023-01-16,1.2419,3.1781,2.5260,0.8952,3.4076,4.9250,0.6778,0.2058,0.6641,0.1541,4.9405,5.5737,1.2386,0.0559,3.5535,0.3688,0.2388,0.2422,0.4614,2.9172,1.0518,0.0421,0.0668,0.4384,0.1382,0.2428,0.1235,4.5614,281.0314,6.1578,0.2669
10,2023-01-17,1.2410,3.1629,2.5214,0.8855,3.3942,4.9386,0.6722,0.2055,0.6629,0.1535,4.9314,5.5665,1.2353,0.0557,3.5347,0.3676,0.2386,0.2424,0.4585,2.9067,1.0489,0.0420,0.0664,0.4364,0.1375,0.2427,0.1234,4.5583,279.3302,6.1431,0.2659
11,2023-01-18,1.2375,3.1924,2.5235,0.8911,3.4020,4.9796,0.6732,0.2057,0.6634,0.1532,4.9355,5.6114,1.2467,0.0559,3.5189,0.3685,0.2393,0.2445,0.4623,2.9449,1.0495,0.0421,0.0662,0.4418,0.1383,0.2420,0.1231,4.5455,279.6949,6.1400,0.2679
12,2023-01-19,1.2402,3.1358,2.5203,0.8782,3.3747,4.9653,0.6712,0.2058,0.6626,0.1531,4.9293,5.6181,1.2465,0.0560,3.5433,0.3682,0.2399,0.2404,0.4590,2.9086,1.0483,0.0420,0.0662,0.4433,0.1378,0.2425,0.1233,4.5551,279.5194,6.1448,0.2650
13,2023-01-20,1.2374,3.1510,2.5183,0.8783,3.3751,4.9445,0.6703,0.2057,0.6621,0.1523,4.9255,5.6182,1.2460,0.0560,3.5059,0.3683,0.2398,0.2401,0.4603,2.9179,1.0452,0.0420,0.0662,0.4412,0.1386,0.2417,0.1230,4.5451,282.0325,6.1316,0.2633
14,2023-01-23,1.2287,3.1648,2.5154,0.8666,3.3786,4.9102,0.6652,0.2060,0.6613,0.1509,4.9198,5.5862,1.2450,0.0554,3.4733,0.3674,0.2399,0.2396,0.4595,2.9280,1.0429,0.0419,0.0657,0.4412,0.1378,0.2400,0.1222,4.5132,279.7558,6.0985,0.2633
15,2023-01-25,1.2279,3.1958,2.5061,0.8775,3.3710,4.8877,0.6648,0.2056,0.6590,0.1506,4.9016,5.5473,1.2567,0.0553,3.4684,0.3647,0.2386,0.2398,0.4555,2.9198,1.0399,0.0418,0.0653,0.4400,0.1373,0.2398,0.1221,4.5101,279.2843,6.0856,0.2619
16,2023-01-26,1.2198,3.1889,2.4980,0.8831,3.3470,4.8787,0.6604,0.2054,0.6569,0.1499,4.8858,5.5520,1.2576,0.0549,3.4552,0.3634,0.2384,0.2385,0.4539,2.9061,1.0351,0.0416,0.0649,0.4380,0.1369,0.2381,0.1213,4.4803,279.0697,6.0562,0.2624
17,2023-01-27,1.2232,3.1965,2.5013,0.8868,3.3738,4.8793,0.6622,0.2053,0.6577,0.1503,4.8922,5.5612,1.2615,0.0551,3.4620,0.3640,0.2384,0.2395,0.4552,2.9159,1.0395,0.0417,0.0648,0.4363,0.1368,0.2388,0.1217,4.4928,278.5647,6.0695,0.2615
18,2023-01-30,1.2234,3.1876,2.5068,0.8795,3.3744,4.8925,0.6656,0.2056,0.6592,0.1497,4.9030,5.5798,1.2523,0.0551,3.4587,0.3661,0.2401,0.2395,0.4554,2.9222,1.0411,0.0418,0.0646,0.4362,0.1375,0.2389,0.1217,4.4936,278.6082,6.0788,0.2603
